x,y,z
0.0,-4.217615344382903e-16,0.2
1.0204081632653061,1.6972605885487957e-16,0.2
2.0408163265306123,1.9265406892000635e-29,0.2
3.0612244897959187,1.9265406892000635e-29,0.2
4.081632653061225,1.9265406892000635e-29,0.2
5.1020408163265305,1.9265406892000635e-29,0.2
6.122448979591837,1.9265406892000635e-29,0.2
7.142857142857143,1.9265406892000635e-29,0.2
8.16326530612245,1.9265406892000635e-29,0.2
9.183673469387756,1.9265406892000635e-29,0.2
10.204081632653061,1.9265406892000635e-29,0.2
11.224489795918368,1.9265406892000635e-29,0.2
12.244897959183675,1.9265406892000635e-29,0.2
13.26530612244898,1.9265406892000635e-29,0.2
14.285714285714286,1.9265406892000635e-29,0.2
15.306122448979592,1.9265406892000635e-29,0.2
16.3265306122449,1.9265406892000635e-29,0.2
17.346938775510203,1.9265406892000635e-29,0.2
18.367346938775512,1.9265406892000635e-29,0.2
19.387755102040817,1.9265406892000635e-29,0.2
20.408163265306122,1.9265406892000635e-29,0.2
21.42857142857143,1.9265406892000635e-29,0.2
22.448979591836736,1.9265406892000635e-29,0.2
23.46938775510204,1.9265406892000635e-29,0.2
24.48979591836735,1.9265406892000635e-29,0.2
25.510204081632654,1.9265406892000635e-29,0.2
26.53061224489796,1.9265406892000635e-29,0.2
27.551020408163264,1.9265406892000635e-29,0.2
28.571428571428573,1.9265406892000635e-29,0.2
29.591836734693878,1.9265406892000635e-29,0.2
30.612244897959183,1.9265406892000635e-29,0.2
31.63265306122449,1.9265406892000635e-29,0.2
32.6530612244898,1.9265406892000635e-29,0.2
33.673469387755105,1.9265406892000635e-29,0.2
34.69387755102041,1.9265406892000635e-29,0.2
35.714285714285715,1.9265406892000635e-29,0.2
36.734693877551024,1.9265406892000635e-29,0.2
37.755102040816325,1.9265406892000635e-29,0.2
38.775510204081634,1.9265406892000635e-29,0.2
39.79591836734694,1.9265406892000635e-29,0.2
40.816326530612244,1.9265406892000635e-29,0.2
41.83673469387755,1.9265406892000635e-29,0.2
42.85714285714286,1.9265406892000635e-29,0.2
43.87755102040816,1.9265406892000635e-29,0.2
44.89795918367347,1.9265406892000635e-29,0.2
45.91836734693878,1.9265406892000635e-29,0.2
46.93877551020408,1.9265406892000635e-29,0.2
47.95918367346939,1.9265406892000635e-29,0.2
48.9795918367347,1.9265406892000635e-29,0.2
50.0,1.9265406892000635e-29,0.2
50.0,1.925550863805237e-29,0.2
51.28140439961426,0.04109214499327152,0.2
52.55754323369012,0.16419972353507717,0.2
53.823172574027446,0.36881686017868986,0.2
55.073091678190146,0.6541027392194062,0.2
56.30216436047242,1.0188850597866264,0.2
57.505340097587485,1.461664853079569,0.2
58.67767478235116,1.9806226419516193,0.2
59.81435104007876,2.5736259175322154,0.2
60.91069802421097,3.238237902163185,0.2
61.96221060982432,3.971727562640865,0.2
62.964567906155764,4.771080832617313,0.2
63.91365101206973,5.633012998045448,0.2
64.80555994150632,6.553982194773663,0.2
65.6366296493606,7.530203962825332,0.2
66.40344509193912,8.557666797556609,0.2
67.10285526010692,9.632148633789498,0.2
67.73198612746,10.749234195183293,0.2
68.28825246031624,11.904333137552122,0.2
68.76936844099521,13.092698911573843,0.2
69.17335706073321,14.309448267379347,0.2
69.49855824363647,15.549581320873711,0.2
69.743635668289,16.808002099332416,0.2
69.90758225898396,18.079539481846364,0.2
69.98972432401376,19.358968448566895,0.2
69.98972432401376,20.6410315514331,0.2
69.90758225898396,21.920460518153632,0.2
69.743635668289,23.19199790066758,0.2
69.49855824363647,24.450418679126287,0.2
69.17335706073321,25.690551732620648,0.2
68.76936844099521,26.907301088426152,0.2
68.28825246031624,28.095666862447874,0.2
67.73198612746,29.2507658048167,0.2
67.10285526010692,30.367851366210502,0.2
66.40344509193912,31.44233320244339,0.2
65.6366296493606,32.46979603717467,0.2
64.80555994150632,33.44601780522633,0.2
63.91365101206973,34.366987001954556,0.2
62.96456790615577,35.228919167382685,0.2
61.962210609824325,36.028272437359135,0.2
60.91069802421098,36.76176209783681,0.2
59.81435104007876,37.42637408246779,0.2
58.67767478235116,38.01937735804838,0.2
57.50534009758749,38.53833514692043,0.2
56.30216436047242,38.981114940213374,0.2
55.07309167819015,39.34589726078059,0.2
53.82317257402745,39.63118313982131,0.2
52.557543233690126,39.83580027646492,0.2
51.28140439961426,39.95890785500673,0.2
50.0,40.0,0.2
50.0,40.0,0.2
48.97959183673469,40.0,0.2
47.95918367346939,40.0,0.2
46.93877551020408,40.0,0.2
45.91836734693877,40.0,0.2
44.89795918367347,40.0,0.2
43.87755102040816,40.0,0.2
42.857142857142854,40.0,0.2
41.83673469387755,40.0,0.2
40.816326530612244,40.0,0.2
39.79591836734694,40.0,0.2
38.775510204081634,40.0,0.2
37.755102040816325,40.0,0.2
36.734693877551024,40.0,0.2
35.714285714285715,40.0,0.2
34.69387755102041,40.0,0.2
33.673469387755105,40.0,0.2
32.6530612244898,40.0,0.2
31.632653061224488,40.0,0.2
30.612244897959183,40.0,0.2
29.591836734693878,40.0,0.2
28.57142857142857,40.0,0.2
27.551020408163264,40.0,0.2
26.53061224489796,40.0,0.2
25.51020408163265,40.0,0.2
24.489795918367346,40.0,0.2
23.46938775510204,40.0,0.2
22.448979591836736,40.0,0.2
21.428571428571427,40.0,0.2
20.408163265306122,40.0,0.2
19.387755102040817,40.0,0.2
18.36734693877551,40.0,0.2
17.346938775510203,40.0,0.2
16.326530612244895,40.0,0.2
15.306122448979593,40.0,0.2
14.285714285714285,40.0,0.2
13.265306122448976,40.0,0.2
12.244897959183675,40.0,0.2
11.224489795918366,40.0,0.2
10.204081632653057,40.0,0.2
9.183673469387756,40.0,0.2
8.163265306122447,40.0,0.2
7.142857142857139,40.0,0.2
6.122448979591837,40.0,0.2
5.102040816326529,40.0,0.2
4.08163265306122,40.0,0.2
3.0612244897959187,40.0,0.2
2.04081632653061,40.0,0.2
1.0204081632653015,40.0,0.2
0.0,40.0,0.2
1.2246467991473533e-15,40.0,0.2
-1.2814043996142568,39.95890785500673,0.2
-2.557543233690118,39.83580027646492,0.2
-3.823172574027444,39.63118313982131,0.2
-5.073091678190145,39.34589726078059,0.2
-6.302164360472414,38.981114940213374,0.2
-7.505340097587483,38.53833514692043,0.2
-8.677674782351161,38.01937735804838,0.2
-9.814351040078751,37.42637408246779,0.2
-10.910698024210967,36.761762097836815,0.2
-11.962210609824318,36.028272437359135,0.2
-12.964567906155764,35.22891916738269,0.2
-13.913651012069732,34.366987001954556,0.2
-14.805559941506308,33.44601780522634,0.2
-15.636629649360597,32.46979603717467,0.2
-16.403445091939115,31.442333202443397,0.2
-17.10285526010692,30.367851366210502,0.2
-17.73198612746,29.2507658048167,0.2
-18.288252460316244,28.09566686244788,0.2
-18.769368440995205,26.907301088426163,0.2
-19.17335706073321,25.690551732620655,0.2
-19.498558243636474,24.45041867912629,0.2
-19.743635668289,23.19199790066759,0.2
-19.90758225898396,21.92046051815364,0.2
-19.98972432401376,20.6410315514331,0.2
-19.98972432401376,19.358968448566902,0.2
-19.90758225898396,18.079539481846375,0.2
-19.743635668289,16.80800209933242,0.2
-19.498558243636477,15.549581320873713,0.2
-19.17335706073322,14.309448267379357,0.2
-18.76936844099521,13.09269891157385,0.2
-18.288252460316247,11.904333137552124,0.2
-17.73198612746,10.749234195183298,0.2
-17.102855260106924,9.632148633789502,0.2
-16.403445091939123,8.557666797556614,0.2
-15.6366296493606,7.5302039628253326,0.2
-14.805559941506319,6.5539821947736705,0.2
-13.913651012069732,5.63301299804545,0.2
-12.964567906155782,4.77108083261732,0.2
-11.962210609824321,3.97172756264087,0.2
-10.91069802421098,3.238237902163192,0.2
-9.814351040078757,2.5736259175322154,0.2
-8.677674782351165,1.9806226419516229,0.2
-7.50534009758749,1.4616648530795686,0.2
-6.302164360472427,1.0188850597866295,0.2
-5.073091678190166,0.6541027392194145,0.2
-3.8231725740274527,0.3688168601786934,0.2
-2.5575432336901316,0.16419972353508427,0.2
-1.281404399614257,0.04109214499327107,0.2
