x,y,z,S axis
0,5.5,0,0
1.005025126,5.5,0,1.005025126
2.010050251,5.5,0,2.010050251
3.015075377,5.5,0,3.015075377
4.020100503,5.5,0,4.020100503
5.025125628,5.5,0,5.025125628
6.030150754,5.5,0,6.030150754
7.035175879,5.5,0,7.035175879
8.040201005,5.5,0,8.040201005
9.045226131,5.5,0,9.045226131
10.05025126,5.5,0,10.05025126
11.05527638,5.5,0,11.05527638
12.06030151,5.5,0,12.06030151
13.06532663,5.5,0,13.06532663
14.07035176,5.5,0,14.07035176
15.07537688,5.5,0,15.07537688
16.08040201,5.5,0,16.08040201
17.08542714,5.5,0,17.08542714
18.09045226,5.5,0,18.09045226
19.09547739,5.5,0,19.09547739
20.10050251,5.5,0,20.10050251
21.10552764,5.5,0,21.10552764
22.11055276,5.5,0,22.11055276
23.11557789,5.5,0,23.11557789
24.12060302,5.5,0,24.12060302
25.12562814,5.5,0,25.12562814
26.13065327,5.5,0,26.13065327
27.13567839,5.5,0,27.13567839
28.14070352,5.5,0,28.14070352
29.14572864,5.5,0,29.14572864
30.15075377,5.5,0,30.15075377
31.15577889,5.5,0,31.15577889
32.16080402,5.5,0,32.16080402
33.16582915,5.5,0,33.16582915
34.17085427,5.5,0,34.17085427
35.1758794,5.5,0,35.1758794
36.18090452,5.5,0,36.18090452
37.18592965,5.5,0,37.18592965
38.19095477,5.5,0,38.19095477
39.1959799,5.5,0,39.1959799
40.20100503,5.5,0,40.20100503
41.20603015,5.5,0,41.20603015
42.21105528,5.5,0,42.21105528
43.2160804,5.5,0,43.2160804
44.22110553,5.5,0,44.22110553
45.22613065,5.5,0,45.22613065
46.23115578,5.5,0,46.23115578
47.2361809,5.5,0,47.2361809
48.24120603,5.5,0,48.24120603
49.24623116,5.5,0,49.24623116
50.25125628,5.5,0,50.25125628
51.25628141,5.5,0,51.25628141
52.26130653,5.5,0,52.26130653
53.26633166,5.5,0,53.26633166
54.27135678,5.5,0,54.27135678
55.27638191,5.5,0,55.27638191
56.28140704,5.5,0,56.28140704
57.28643216,5.5,0,57.28643216
58.29145729,5.5,0,58.29145729
59.29648241,5.5,0,59.29648241
60.30150754,5.5,0,60.30150754
61.30653266,5.5,0,61.30653266
62.31155779,5.5,0,62.31155779
63.31658291,5.5,0,63.31658291
64.32160804,5.5,0,64.32160804
65.32663317,5.5,0,65.32663317
66.33165829,5.5,0,66.33165829
67.33668342,5.5,0,67.33668342
68.34170854,5.5,0,68.34170854
69.34673367,5.5,0,69.34673367
70.35175879,5.5,0,70.35175879
71.35678392,5.5,0,71.35678392
72.36180905,5.5,0,72.36180905
73.36683417,5.5,0,73.36683417
74.3718593,5.5,0,74.3718593
75.37688442,5.5,0,75.37688442
76.38190955,5.5,0,76.38190955
77.38693467,5.5,0,77.38693467
78.3919598,5.5,0,78.3919598
79.39698492,5.5,0,79.39698492
80.40201005,5.5,0,80.40201005
81.40703518,5.5,0,81.40703518
82.4120603,5.5,0,82.4120603
83.41708543,5.5,0,83.41708543
84.42211055,5.5,0,84.42211055
85.42713568,5.5,0,85.42713568
86.4321608,5.5,0,86.4321608
87.43718593,5.5,0,87.43718593
88.44221106,5.5,0,88.44221106
89.44723618,5.5,0,89.44723618
90.45226131,5.5,0,90.45226131
91.45728643,5.5,0,91.45728643
92.46231156,5.5,0,92.46231156
93.46733668,5.5,0,93.46733668
94.47236181,5.5,0,94.47236181
95.47738693,5.5,0,95.47738693
96.48241206,5.5,0,96.48241206
97.48743719,5.5,0,97.48743719
98.49246231,5.5,0,98.49246231
99.49748744,5.5,0,99.49748744
100.5025126,5.5,0,100.5025126
101.5075377,5.5,0,101.5075377
102.5125628,5.5,0,102.5125628
103.5175879,5.5,0,103.5175879
104.5226131,5.5,0,104.5226131
105.5276382,5.5,0,105.5276382
106.5326633,5.5,0,106.5326633
107.5376884,5.5,0,107.5376884
108.5427136,5.5,0,108.5427136
109.5477387,5.5,0,109.5477387
110.5527638,5.5,0,110.5527638
111.5577889,5.5,0,111.5577889
112.5628141,5.5,0,112.5628141
113.5678392,5.5,0,113.5678392
114.5728643,5.5,0,114.5728643
115.5778894,5.5,0,115.5778894
116.5829146,5.5,0,116.5829146
117.5879397,5.5,0,117.5879397
118.5929648,5.5,0,118.5929648
119.5979899,5.5,0,119.5979899
120.6030151,5.5,0,120.6030151
121.6080402,5.5,0,121.6080402
122.6130653,5.5,0,122.6130653
123.6180905,5.5,0,123.6180905
124.6231156,5.5,0,124.6231156
125.6281407,5.5,0,125.6281407
126.6331658,5.5,0,126.6331658
127.638191,5.5,0,127.638191
128.6432161,5.5,0,128.6432161
129.6482412,5.5,0,129.6482412
130.6532663,5.5,0,130.6532663
131.6582915,5.5,0,131.6582915
132.6633166,5.5,0,132.6633166
133.6683417,5.5,0,133.6683417
134.6733668,5.5,0,134.6733668
