x,y
0.0,-8.0
1.020408163265306,-8.0
2.0408163265306123,-8.0
3.0612244897959187,-8.0
4.081632653061225,-8.0
5.1020408163265305,-8.0
6.122448979591837,-8.0
7.142857142857143,-8.0
8.16326530612245,-8.0
9.183673469387756,-8.0
10.20408163265306,-8.0
11.224489795918368,-8.0
12.244897959183676,-8.0
13.26530612244898,-8.0
14.285714285714286,-8.0
15.306122448979592,-8.0
16.3265306122449,-8.0
17.346938775510203,-8.0
18.367346938775512,-8.0
19.387755102040817,-8.0
20.40816326530612,-8.0
21.42857142857143,-8.0
22.448979591836736,-8.0
23.46938775510204,-8.0
24.48979591836735,-8.0
25.51020408163265,-8.0
26.53061224489796,-8.0
27.551020408163264,-8.0
28.571428571428573,-8.0
29.59183673469388,-8.0
30.612244897959183,-8.0
31.63265306122449,-8.0
32.6530612244898,-8.0
33.673469387755105,-8.0
34.69387755102041,-8.0
35.714285714285715,-8.0
36.734693877551024,-8.0
37.755102040816325,-8.0
38.775510204081634,-8.0
39.79591836734694,-8.0
40.81632653061224,-8.0
41.83673469387755,-8.0
42.85714285714286,-8.0
43.87755102040816,-8.0
44.89795918367347,-8.0
45.91836734693878,-8.0
46.93877551020408,-8.0
47.95918367346939,-8.0
48.9795918367347,-8.0
50.0,0.0
50.25641262057323,-7.995889729605503
52.04958860687572,-7.921940758600313
53.83434239395714,-7.733254543780526
55.603340045677946,-7.430606437275903
57.34931237123844,-7.01524008507387
59.06508479584291,-6.488862316611447
60.743606842566635,-5.853636131046931
62.377981104277836,-5.112171809032387
63.96149158656296,-4.267516186510559
65.48763130518833,-3.3231401346124603
66.95012902469422,-2.2829242971033494
68.34297502824626,-1.1511431439852418
69.66044581285153,0.0675525932175356
70.8971276084594,1.3681550323113711
72.04793862430427,2.7453197188956127
73.10814993107385,4.193387587872229
74.07340489309402,5.7064082177579625
74.93973707067939,7.278164282242876
75.7035865190844,8.902197098517092
76.36181441708057,10.571833167384897
76.91171596504545,12.28021159610331
77.35103149956498,14.020312291262705
77.67795577887497,15.78498480585636
77.89114540098666,17.56697772200062
77.98972432401376,19.35896844856689
77.97328746601646,21.153593311278843
77.84190236956994,22.943477811629688
77.59610892421752,24.721266930278585
77.2369171479487,26.47965535040233
76.76580303681857,28.211417476809597
76.18470249976336,29.90943712746118
75.49600340353561,31.5667367753883
74.70253576044712,33.17650622084821
73.80756009924164,34.7321305758949
