X,Y,Z,dX,dY,dZ,Tangent
-0.152278,-0.152278,0,-0.0568614,-0.0568614,0,0.0804142
-0.152792,-0.152792,0,-0.0458436,-0.0458436,0,0.0648326
-0.153195,-0.153195,0,-0.0346485,-0.0346485,0,0.0490004
-0.153484,-0.153484,0,-0.0232763,-0.0232763,0,0.0329176
-0.15366,-0.15366,0,-0.0117267,-0.0117267,0,0.0165841
-0.153718,-0.153718,0,0,0,0,0
-0.153718,-0.153718,0,0,0,0,0
-0.15366,-0.15366,0,0.0117563,0.0117563,0,0.0166259
-0.153484,-0.153484,0,0.0233946,0.0233946,0,0.0330849
-0.153192,-0.153192,0,0.0349147,0.0349147,0,0.0493769
-0.152786,-0.152786,0,0.0463168,0.0463168,0,0.0655018
-0.152266,-0.152266,0,0.0576008,0.0576008,0,0.0814598
-0.151634,-0.151634,0,0.0687667,0.0687667,0,0.0972508
-0.150891,-0.150891,0,0.0798145,0.0798145,0,0.112875
-0.150038,-0.150038,0,0.0907443,0.0907443,0,0.128332
-0.149077,-0.149077,0,0.101556,0.101556,0,0.143622
-0.148008,-0.148008,0,0.11225,0.11225,0,0.158745
-0.146832,-0.146832,0,0.122825,0.122825,0,0.173701
-0.145551,-0.145551,0,0.133282,0.133282,0,0.18849
-0.144167,-0.144167,0,0.143622,0.143622,0,0.203112
-0.142679,-0.142679,0,0.153843,0.153843,0,0.217567
-0.14109,-0.14109,0,0.163946,0.163946,0,0.231855
-0.139401,-0.139401,0,0.173931,0.173931,0,0.245976
-0.137612,-0.137612,0,0.183798,0.183798,0,0.25993
-0.135725,-0.135725,0,0.193547,0.193547,0,0.273717
-0.133742,-0.133742,0,0.203178,0.203178,0,0.287337
-0.131662,-0.131662,0,0.212691,0.212691,0,0.300791
-0.129488,-0.129488,0,0.222086,0.222086,0,0.314077
-0.127221,-0.127221,0,0.231362,0.231362,0,0.327196
-0.124861,-0.124861,0,0.240521,0.240521,0,0.340148
-0.122411,-0.122411,0,0.249561,0.249561,0,0.352933
-0.11987,-0.11987,0,0.258484,0.258484,0,0.365551
-0.117241,-0.117241,0,0.267288,0.267288,0,0.378002
-0.114525,-0.114525,0,0.275974,0.275974,0,0.390286
-0.111722,-0.111722,0,0.284542,0.284542,0,0.402404
-0.108835,-0.108835,0,0.292992,0.292992,0,0.414354
-0.105863,-0.105863,0,0.301324,0.301324,0,0.426137
-0.102809,-0.102809,0,0.309538,0.309538,0,0.437753
-0.0996726,-0.0996726,0,0.317634,0.317634,0,0.449202
-0.0964562,-0.0964562,0,0.325612,0.325612,0,0.460485
-0.0931607,-0.0931607,0,0.333471,0.333471,0,0.4716
-0.0897872,-0.0897872,0,0.341213,0.341213,0,0.482548
-0.0863369,-0.0863369,0,0.348837,0.348837,0,0.493329
-0.0828109,-0.0828109,0,0.356342,0.356342,0,0.503944
-0.0792104,-0.0792104,0,0.363729,0.363729,0,0.514391
-0.0755367,-0.0755367,0,0.370999,0.370999,0,0.524671
-0.0717908,-0.0717908,0,0.37815,0.37815,0,0.534784
-0.0679741,-0.0679741,0,0.385183,0.385183,0,0.544731
-0.0640876,-0.0640876,0,0.392098,0.392098,0,0.55451
-0.0601325,-0.0601325,0,0.398895,0.398895,0,0.564122
-0.0561101,-0.0561101,0,0.405574,0.405574,0,0.573568
-0.0520214,-0.0520214,0,0.412134,0.412134,0,0.582846
-0.0478678,-0.0478678,0,0.418577,0.418577,0,0.591957
-0.0436503,-0.0436503,0,0.424902,0.424902,0,0.600902
-0.0393701,-0.0393701,0,0.431108,0.431108,0,0.609679
-0.0350285,-0.0350285,0,0.437197,0.437197,0,0.618289
-0.0306266,-0.0306266,0,0.443167,0.443167,0,0.626733
-0.0261656,-0.0261656,0,0.449019,0.449019,0,0.635009
-0.0216466,-0.0216466,0,0.454753,0.454753,0,0.643118
-0.0170709,-0.0170709,0,0.460369,0.460369,0,0.651061
-0.0124396,-0.0124396,0,0.465868,0.465868,0,0.658836
-0.00775394,-0.00775394,0,0.471247,0.471247,0,0.666445
-0.00301506,-0.00301506,0,0.476509,0.476509,0,0.673886
0.00177585,0.00177585,0,0.481653,0.481653,0,0.68116
0.00661761,0.00661761,0,0.486679,0.486679,0,0.688268
0.011509,0.011509,0,0.491586,0.491586,0,0.695208
0.0164489,0.0164489,0,0.496376,0.496376,0,0.701982
0.0214362,0.0214362,0,0.501047,0.501047,0,0.708588
0.0264695,0.0264695,0,0.505601,0.505601,0,0.715028
0.0315478,0.0315478,0,0.510036,0.510036,0,0.7213
0.0366698,0.0366698,0,0.514353,0.514353,0,0.727406
0.0418345,0.0418345,0,0.518553,0.518553,0,0.733344
0.0470405,0.0470405,0,0.522634,0.522634,0,0.739116
