x,y
10.92048112,-0.350641055
16.19275516,0.240126871
21.46780507,0.831622419
21.46780507,0.831622419
26.74554888,1.423922286
32.02590825,2.017118613
32.02590825,2.017118613
37.30881034,2.611303603
42.59417363,3.206625498
42.59417363,3.206625498
47.88192134,3.803220965
53.17197295,4.401247349
53.17197295,4.401247349
58.46424789,5.000862259
63.75866397,5.602226794
63.75866397,5.602226794
69.05513136,6.20552375
74.35355126,6.810956325
74.35355126,6.810956325
79.65381574,7.418743644
84.95579836,8.029146262
84.95579836,8.029146262
90.25936474,8.642425332
95.56436926,9.25885037
95.56436926,9.25885037
100.8706409,9.878738326
106.177989,10.50242857
106.177989,10.50242857
111.4862001,11.13028792
116.7950366,11.76270822
116.7950366,11.76270822
122.104234,12.40010986
127.4134905,13.04296387
127.4134905,13.04296387
132.7224633,13.69179429
138.0307705,14.34716661
138.0307705,14.34716661
143.3379848,15.00969747
148.6436258,15.68006713
148.6436258,15.68006713
153.9471569,16.35902001
159.2479759,17.04737984
159.2479759,17.04737984
164.5454492,17.74606046
169.8392417,18.4562532
169.8392417,18.4562532
175.1292117,19.17939385
180.4152067,19.91704864
180.4152067,19.91704864
185.6970303,20.67093454
190.9744324,21.44291333
190.9744324,21.44291333
196.2470797,22.23502086
201.5145478,23.04945347
201.5145478,23.04945347
206.776227,23.88854515
212.0230117,24.76556463
212.0230117,24.76556463
217.2423686,25.69317789
222.4203826,26.68395812
222.4203826,26.68395812
227.5420208,27.75069084
232.5912591,28.90671677
232.5912591,28.90671677
235.0756841,29.51893918
237.5512189,30.16617283
239.9825775,30.83840426
242.404345,31.54440857
242.404345,31.54440857
244.7767147,32.2779042
247.1338253,33.05904645
249.4450127,33.87667077
251.7394801,34.74010327
251.7394801,34.74010327
253.2460445,35.3402432
254.741408,35.96777187
256.2250728,36.62248036
257.6947563,37.30330228
259.1517887,38.01079414
260.5956861,38.74472095
260.5956861,38.74472095
261.6763171,39.3191346
262.7471731,39.91157182
263.8079536,40.52186633
264.8583606,41.14984682
265.9175676,41.80765466
266.9653924,42.48344596
268.0015297,43.17702381
269.0256775,43.88818613
269.0256775,43.88818613
