x,y
0.0,-4.0
1.00502512562814,-4.0
2.01005025125628,-4.0
3.01507537688442,-4.0
4.02010050251256,-4.0
5.0251256281407,-4.0
6.03015075376884,-4.0
7.03517587939699,-4.0
8.04020100502512,-4.0
9.04522613065327,-4.0
10.0502512562814,-4.0
11.0552763819095,-4.0
12.0603015075377,-4.0
13.0653266331658,-4.0
14.070351758794,-4.0
15.0753768844221,-4.0
16.0804020100502,-4.0
17.0854271356784,-4.0
18.0904522613065,-4.0
19.0954773869347,-4.0
20.1005025125628,-4.0
21.105527638191,-4.0
22.1105527638191,-4.0
23.1155778894472,-4.0
24.1206030150754,-4.0
25.1256281407035,-4.0
26.1306532663317,-4.0
27.1356783919598,-4.0
28.1407035175879,-4.0
29.1457286432161,-4.0
30.1507537688442,-4.0
31.1557788944724,-4.0
32.1608040201005,-4.0
33.1658291457286,-4.0
34.1708542713568,-4.0
35.1758793969849,-4.0
36.1809045226131,-4.0
37.1859296482412,-4.0
38.1909547738693,-4.0
39.1959798994975,-4.0
40.2010050251256,-4.0
41.2060301507538,-4.0
42.2110552763819,-4.0
43.21608040201,-4.0
44.2211055276382,-4.0
45.2261306532663,-4.0
46.2311557788945,-4.0
47.2361809045226,-4.0
48.2412060301508,-4.0
49.2462311557789,-4.0
50.251256281407,-4.0
51.2562814070352,-4.0
52.2613065326633,-4.0
53.2663316582915,-4.0
54.2713567839196,-4.0
55.2763819095477,-4.0
56.2814070351759,-4.0
57.286432160804,-4.0
58.2914572864322,-4.0
59.2964824120603,-4.0
60.3015075376884,-4.0
61.3065326633166,-4.0
62.3115577889447,-4.0
63.3165829145729,-4.0
64.321608040201,-4.0
65.3266331658292,-4.0
66.3316582914573,-4.0
67.3366834170854,-4.0
68.3417085427136,-4.0
69.3467336683417,-4.0
70.3517587939699,-4.0
71.356783919598,-4.0
72.3618090452261,-4.0
73.3668341708543,-4.0
74.3718592964824,-4.0
75.3768844221105,-4.0
76.3819095477387,-4.0
77.3869346733668,-4.0
78.391959798995,-4.0
79.3969849246231,-4.0
80.4020100502513,-4.0
81.4070351758794,-4.0
82.4120603015075,-4.0
83.4170854271357,-4.0
84.4221105527638,-4.0
85.427135678392,-4.0
86.4321608040201,-4.0
87.4371859296482,-4.0
88.4422110552764,-4.0
89.4472361809045,-4.0
90.4522613065327,-4.0
91.4572864321608,-4.0
92.462311557789,-4.0
93.4673366834171,-4.0
94.4723618090452,-4.0
95.4773869346734,-4.0
96.4824120603015,-4.0
97.4874371859297,-4.0
98.4924623115578,-4.0
99.4974874371859,-4.0
100.502512562814,-4.0
101.507537688442,-4.0
102.51256281407,-4.0
103.517587939698,-4.0
104.522613065327,-4.0
105.527638190955,-4.0
106.532663316583,-4.0
107.537688442211,-4.0
108.542713567839,-4.0
109.547738693467,-4.0
110.552763819095,-4.0
111.557788944724,-4.0
112.562814070352,-4.0
113.56783919598,-4.0
114.572864321608,-4.0
115.577889447236,-4.0
116.582914572864,-4.0
117.587939698492,-4.0
118.592964824121,-4.0
119.597989949749,-4.0
120.603015075377,-4.0
121.608040201005,-4.0
122.613065326633,-4.0
123.618090452261,-4.0
124.623115577889,-4.0
125.628140703518,-4.0
126.633165829146,-4.0
127.638190954774,-4.0
128.643216080402,-4.0
129.64824120603,-4.0
130.653266331658,-4.0
131.658291457286,-4.0
132.663316582915,-4.0
133.668341708543,-4.0
134.673366834171,-4.0
135.678391959799,-4.0
136.683417085427,-4.0
137.688442211055,-4.0
138.693467336683,-4.0
139.698492462312,-4.0
140.70351758794,-4.0
141.708542713568,-4.0
142.713567839196,-4.0
143.718592964824,-4.0
144.723618090452,-4.0
145.72864321608,-4.0
146.733668341709,-4.0
147.738693467337,-4.0
148.743718592965,-4.0
149.748743718593,-4.0
150.753768844221,-4.0
151.758793969849,-4.0
152.763819095477,-4.0
153.768844221106,-4.0
154.773869346734,-4.0
155.778894472362,-4.0
156.78391959799,-4.0
157.788944723618,-4.0
158.793969849246,-4.0
159.798994974874,-4.0
160.804020100503,-4.0
161.809045226131,-4.0
162.814070351759,-4.0
163.819095477387,-4.0
164.824120603015,-4.0
165.829145728643,-4.0
166.834170854271,-4.0
167.8391959799,-4.0
168.844221105528,-4.0
169.849246231156,-4.0
170.854271356784,-4.0
171.859296482412,-4.0
172.86432160804,-4.0
173.869346733668,-4.0
174.874371859296,-4.0
175.879396984925,-4.0
176.884422110553,-4.0
177.889447236181,-4.0
178.894472361809,-4.0
179.899497487437,-4.0
180.904522613065,-4.0
181.909547738693,-4.0
182.914572864322,-4.0
183.91959798995,-4.0
184.924623115578,-4.0
185.929648241206,-4.0
186.934673366834,-4.0
187.939698492462,-4.0
188.94472361809,-4.0
189.949748743719,-4.0
190.954773869347,-4.0
191.959798994975,-4.0
192.964824120603,-4.0
193.969849246231,-4.0
194.974874371859,-4.0
195.979899497487,-4.0
196.984924623116,-4.0
197.989949748744,-4.0
198.994974874372,-4.0
200.0,-4.0
200.00032649729584,-3.99999998667494
200.80906029456708,-3.9999339210250144
201.61909999461864,-3.999603166391088
202.43044525116065,-3.998741967960899
203.24309519642424,-3.997083292495051
204.05704817751686,-3.994358829783764
204.8723014906972,-3.990298995392076
205.68885111357142,-3.9846329351320677
206.50669143522413,-3.9770885317053866
207.32581498429585,-3.9673924139640864
208.14621215504027,-3.955269969242425
208.96787093136516,-3.9404453592168833
209.79077660892392,-3.922641539756193
210.61491151527954,-3.9015802852275083
211.44025472821144,-3.876982217729197
212.2667817922237,-3.848566841724764
213.0944644333428,-3.81605258455638
213.92327027229433,-3.7791568433200524
214.75316253616518,-3.737596038587959
215.58409976868163,-3.6910856754665122
216.41603553924554,-3.639340412481256
217.24891815087852,-3.5820741387821595
