x,y,z,s
10.5864162983422,2.63070104125979,0,0
15.8585740471181,3.22145593431941,0,0
21.1335077286137,3.81293845181873,0,0
21.1332275427765,3.81290702102594,0,0
26.4108032240276,4.40518801481513,0,0
31.6909945517507,4.99836546871742,0,0
31.6906027803134,4.99832143099112,0,0
36.9732652827351,5.59247946405636,0,0
42.258389103221,6.18777439592104,0,0
42.2578296158215,6.18771132436031,0,0
47.5452514696179,6.78427000826932,0,0
52.8349773773895,7.38225959051142,0,0
52.8342337090569,7.38217542681858,0,0
58.1260896969748,7.98174283971603,0,0
63.4200870143491,8.58305983949285,0,0
63.4191428179637,8.58295244177773,0,0
68.7150788609694,9.18618882643899,0,0
74.0129676421796,9.79156076022323,0,0
74.0117776011355,9.79142453756432,0,0
79.311371112162,10.3991348392737,0,0
84.6126830326587,11.0094603179584,0,0
84.6111890190651,11.0092879368437,0,0
89.9139294402848,11.6224713809245,0,0
95.218108304983,12.2388005962673,0,0
95.216271253861,12.238586562706,0,0
100.521524677722,12.8583553925611,0,0
105.827854890357,13.481926196323,0,0
105.825603097662,13.4816607153411,0,0
111.13257257831,14.1093729432753,0,0
116.440167789445,14.7416456358071,0,0
116.437436152073,14.7413189565083,0,0
121.74512792416,15.3785394506223,0,0
127.05287908825,16.0212115779175,0,0
127.049556545226,16.0208073978843,0,0
132.356699258437,16.6694135849905,0,0
137.663176556664,17.3245605531695,0,0
137.659147301367,17.3240603263153,0,0
142.964142631442,17.9863133392393,0,0
148.267564626877,18.6564034675245,0,0
148.262677693556,18.6557819248345,0,0
153.56351625986,19.3343888710377,0,0
158.861642291467,20.0224002336978,0,0
158.855704708158,20.0216231575601,0,0
164.149867178897,20.7198652391642,0,0
169.440348019462,21.4296155781212,0,0
169.432919601239,21.4286095635705,0,0
174.718736535528,22.1511795319346,0,0
180.000577753066,22.8882576256427,0,0
179.991306502723,22.8869490798714,0,0
185.267970847151,23.6400940146529,0,0
190.540213257414,24.4113226239169,0,0
190.528744975491,24.4096224022944,0,0
195.795036077088,25.200768078322,0,0
201.056147961242,26.014224892526,0,0
201.042100904284,26.012018900624,0,0
206.292709567903,26.849323914592,0,0
211.528412633727,27.7245123760141,0,0
211.498061135145,27.7192787164441,0,0
216.698033796964,28.6433812087907,0,0
221.856579880619,29.6305029599131,0,0
221.808671106786,29.6209308895485,0,0
226.901513336209,30.6815184004047,0,0
231.92173108356,31.831051264411,0,0
231.873459505264,31.8195785486976,0,0
234.337341666006,32.4266617338493,0,0
236.772191223087,33.063260312042,0,0
239.163017645545,33.7242874255085,0,0
241.564722635069,34.4245186866982,0,0
241.518186091358,34.4105422704115,0,0
243.861727670964,35.1349654063265,0,0
246.161827668567,35.8972185033626,0,0
248.416394016553,36.6948161892541,0,0
250.682884178747,37.5478790906792,0,0
250.629273483023,37.5271162350972,0,0
252.110457229634,38.1170113846678,0,0
253.555345111255,38.7233579825976,0,0
254.988959593333,39.3559807057663,0,0
256.409003809844,40.0138078664279,0,0
257.816854452548,40.6974185192126,0,0
259.236326231465,41.4190696086113,0,0
259.187592567465,41.3937344651851,0,0
260.246082280296,41.9562596179896,0,0
261.272958383457,42.5243655297156,0,0
262.290172697621,43.1095952826484,0,0
263.297035536445,43.7115384575543,0,0
264.31314500496,44.3425763819716,0,0
265.31793575539,44.9906130075122,0,0
266.311518955799,45.6557056541431,0,0
267.31457355622,46.3523540004142,0,0
267.270681744831,46.3212890664452,0,0
268.288408206415,47.055208403249,0,0
269.269214593925,47.7913269563618,0,0
270.235890205999,48.5459062096407,0,0
271.187665906584,49.3183259356362,0,0
272.14336531348,50.1247530814296,0,0
273.08288965545,50.9491383956443,0,0
274.006310174043,51.7915231183898,0,0
274.934216796598,52.6716380191266,0,0
274.889120025522,52.627968178727,0,0
275.611850330498,53.3424584666408,0,0
276.302296253549,54.050521968141,0,0
276.979736220405,54.7710388177017,0,0
277.643945821961,55.5037702470455,0,0
278.295053995987,56.2488801773778,0,0
278.919421532328,56.9899378955109,0,0
279.530804117131,57.7424351250084,0,0
280.128657928373,58.5057253146543,0,0
280.712792413933,59.2795650491931,0,0
281.298671811572,60.0854325659708,0,0
281.272730982352,60.0491976066758,0,0
281.733038473152,60.7021904219546,0,0
282.168695114442,61.3423857123601,0,0
282.593812828959,61.9896274085917,0,0
283.008277445157,62.6437418803212,0,0
283.411977984239,63.3045539007363,0,0
283.802992506474,63.9687423681184,0,0
284.242157987168,64.7456581114581,0,0
284.664893021766,65.527511254807,0,0
285.072862057418,66.3171696652129,0,0
285.465920969947,67.1143545676441,0,0
285.855798999689,67.9443515648712,0,0
285.831324795881,67.8909151350986,0,0
286.127216772864,68.553754564673,0,0
286.400899735677,69.1973975079556,0,0
286.663181847868,69.8457699995164,0,0
286.913981273031,70.498669792293,0,0
287.153219942348,71.15589387026,0,0
287.381139314082,71.8181817218051,0,0
287.588812491761,72.4574025691277,0,0
287.785899596206,73.1010077728792,0,0
287.972027693739,73.7478671455064,0,0
288.147143251595,74.3977944594063,0,0
288.311195710399,75.0506019232648,0,0
288.469820883181,75.7309352605545,0,0
288.455295678357,75.6653735446413,0,0
288.671235189522,76.6938831701908,0,0
288.863835881462,77.7000050314214,0,0
289.038603330223,78.7093773788714,0,0
289.195404396077,79.7211460241377,0,0
289.337084657972,80.7574307561714,0,0
289.459960530155,81.795565178769,0,0
289.56407041984,82.8357493459642,0,0
289.651469172647,83.9046506333645,0,0
289.648077427494,83.8589355033697,0,0
289.74594957363,85.3284622516181,0,0
289.815389041725,86.7720476258234,0,0
289.858315467993,88.2161777605865,0,0
289.874795891342,89.6873679017058,0,0
289.863797563322,91.1581227190663,0,0
289.824470819054,92.6564168992799,0,0
289.826342690214,92.6030418789817,0,0
289.759483484567,94.1250291115663,0,0
289.670818151061,95.6231242471765,0,0
289.559477408061,97.1194201083957,0,0
289.423598856126,98.6330858366326,0,0
289.264532221486,100.144205164646,0,0
289.079442868908,101.675550941192,0,0
289.085298577766,101.630009852068,0,0
288.766008829167,103.971944264577,0,0
288.416954456012,106.287874240106,0,0
288.027314757665,108.64538557781,0,0
287.600088540469,111.017811864756,0,0
287.606446855807,110.983633820234,0,0
286.670177077941,115.859405141229,0,0
285.650077979425,120.850802120097,0,0
285.656276040133,120.821232915048,0,0
284.561517398203,125.916281429721,0,0
283.397456179575,131.09199263939,0,0
283.403775473311,131.064499114434,0,0
282.174581137131,136.299685483197,0,0
280.879507856897,141.578053430246,0,0
280.887176102372,141.547493191889,0,0
279.526271122537,146.853083421273,0,0
278.102096088785,152.178221123768,0,0
278.109594649215,152.150707068488,0,0
276.626253318838,157.493336952451,0,0
275.088268576769,162.848346179934,0,0
275.095219942429,162.824514288668,0,0
273.505966027678,168.190462718825,0,0
271.869126629817,173.56333422739,0,0
271.875578620849,173.542429217364,0,0
270.193911899465,178.921549895332,0,0
268.47090415225,184.304507827866,0,0
268.476439978307,184.287389780626,0,0
266.715404172596,189.677691289434,0,0
264.920780041028,195.074984249967,0,0
264.92506984479,195.062179018217,0,0
263.099683030423,200.470600182973,0,0
261.247861392526,205.890945337814,0,0
261.250650772223,205.882818761339,0,0
259.375294316913,211.321111494294,0,0
257.480807688404,216.779076153828,0,0
257.481979460139,216.775706776388,0,0
255.571087918313,222.25987866312,0,0
253.647408262838,227.771910408926,0,0
253.647463162815,227.771753114845,0,0
251.713216907984,233.313074638101,0,0
249.764158042392,238.875904590823,0,0
249.768270387316,238.864244550742,0,0
247.797293750891,244.416281632907,0,0
245.785079328712,249.936253310414,0,0
245.800095409972,249.895959947725,0,0
243.73390343855,255.321697759769,0,0
241.575482348883,260.612588537183,0,0
241.596885836947,260.561472293157,0,0
240.868522947015,262.257101984135,0,0
240.122160979735,263.917521652721,0,0
239.347887807861,265.566003769213,0,0
